GRB	Time [UT]	BAT RA (J2000)	BAT Dec (J2000)	BAT 90% Error Radius [arcmin]	BAT T90 [sec]	BAT Fluence (15-150 keV) [10^-7 erg/cm^2]	BAT Fluence 90% Error (15-150 keV) [10^-7 erg/cm^2]	BAT 1-sec Peak Photon Flux (15-150 keV) [ph/cm^2/sec]	BAT 1-sec Peak Photon Flux 90% Error (15-150 keV) [ph/cm^2/sec]
140215A	04:07:10	104.129	41.787	1.1	84.2	78	3	7.9	0.7
140213A	19:21:37	105.166	-73.136	1.0	60.0	120	0	23.5	0.8
140211A	12:23:03	124.233	20.237	1.4	89.4	18	1	0.7	0.2
140209A	07:30:57	81.328	32.488	1.0	21.3	41	2	38.1	1.1
140206A	07:17:20	145.321	66.762	1.0	93.6	160	3	19.4	0.5
140129B	12:51:09	326.764	26.215	2.1	1.36	0.71	0.14	0.9	0.2
140129A	03:23:59	37.851	-1.594	2.2	2.99	1.3	0.3	0.9	0.2
140118A	01:32:02	330.999	-17.937	1.5	84.15	26	2	1.9	0.3
140114A	11:57:40	188.498	27.942	1.9	139.7	32	1	0.9	0.1
140108A	17:18:42	325.129	58.749	1.0	94	70	2	6.1	0.3
140103A	00:30:43	232.114	37.752	1.7	17.3	6.0	0.7	2.1	0.3
140102A	21:17:37	211.915	1.332	1.0	65	77	2	29.8	0.6
131229A	06:39:24	85.236	-4.401	1.0	13.86	66	1	10.7	0.3
131227A	04:44:51	67.369	28.879	1.3	18.0	8.4	0.6	1.1	0.2
131226A	05:47:39	301.309	-64.943	1.0	7.20	40	1	10.4	0.4
#	131224B	03:25:08	163.722	-14.177	3	~9	2.6	0.3	n/a	n/a
131205A	09:18:38	131.573	-60.181	2.8	37.5	2.9	0.7	0.6	0.1
131202A	15:12:09	344.005	-21.650	2.6	30.4	6.1	1.0	0.7	0.2
131128A	15:06:24	355.305	31.293	1.6	3.00	3.2	0.4	2.7	0.3
131127A	10:11:35	332.714	36.596	1.8	92.1	19	2	1.3	0.2
131120A	14:37:56	278.937	-12.026	3.0	131	5.7	1.5	0.5	0.2
131117A	00:34:04	332.354	-31.761	1.8	11.00	2.5	0.4	0.7	0.1
#	131110A	11:53:11	69.268	-17.259	0.8	~100	35.3	1.0	n/a	n/a
131105A	02:04:44	70.973	-63.005	1.5	112.3	71	5	3.5	0.6
131103A	22:07:25	348.948	-44.645	1.8	17.3	8.2	1.0	1.5	0.3
#	131031A	11:33:31	29.618	-1.603	4	n/a	n/a	n/a	n/a	n/a
131030A	20:56:18	345.074	-5.380	1.0	41.1	290	0	28.1	0.7
131024B	21:35:31	144.464	44.284	2.1	64.00	12	2	0.1	0.1
