GRB	Time [UT]	BAT RA (J2000)	BAT Dec (J2000)	BAT 90% Error Radius [arcmin]	BAT T90 [sec]	BAT Fluence (15-150 keV) [10^-7 erg/cm^2]	BAT Fluence 90% Error (15-150 keV) [10^-7 erg/cm^2]	BAT 1-sec Peak Photon Flux (15-150 keV) [ph/cm^2/sec]	BAT 1-sec Peak Photon Flux 90% Error (15-150 keV) [ph/cm^2/sec]	Redshift
110503A	17:35:45	132.799	52.211	1.0	10.0	100	4	1.35	0.06	1.613 (GTC: absorption)|1.61 (TNG: absorption), PAIRITEL (1.3m)
110422A	15:41:55	112.057	75.100	1.0	25.9	410	10	30.7	1.0	1.770 (TNG: absorption)| 1.770 (GTC: absorption)
110213A	05:17:29	42.978	49.278	1.4	48.0	59	4	1.6	0.6	1.460 (Bok: absorption)
110205A	02:02:41	164.603	67.533	2.2	257	170	0	3.6	0.2	1.980 (Lick: absorption, possible)|2.22 (FLWO: absorption, host)| 2.22 (NOT: absorption)
110128A	01:44:33	193.871	28.108	2.3	30.7	7.2	1.4	0.8	0.2	2.339 (VLT: absorption)
101225A	18:37:45	0.2037	44.5739	3.6	1088.0	19	4	0.0	0.0	0.847(arXiv:1302.2352v1)|0.40 (Keck I: emission)
101219B	16:27:53	12.259	-34.556	3.9	34	21	4	0.6	0.3	0.5519 (ESO-VLT: tentative redshift)
101219A	02:31:29	74.586	-2.527	1.0	0.6	4.6	0.3	4.1	0.2	0.718 (Gemini-North: emission, host)
100906A	13:49:27	28.697	55.634	1.0	114.4	120	0	10.1	0.4	1.727 (Gemini-North: absorption)
100902A	19:31:54	48.626	30.970	1.3	428.8	32	2	1.0	0.1	4.500 (Swift XRT: tentative redshift)
100901A	13:34:10	27.252	22.751	3.5	439	21	3	0.8	0.2	1.408 (Gemini-North: absorption, host redshift)
100816A	00:37:51	351.738	26.568	1.0	2.9	20	1	10.9	0.4	0.8034 (VLT: emission and absorption)|0.8035 (Gemini-North: absorption)|0.8049 (GTC: absorption)
100814A	03:50:11	22.479	-17.990	1.0	174.5	90	2	2.5	0.2	1.440 (Magellan: absorption)
#	100728B	10:31:55	44.051	0.296	1.5	12.1	17	1	3.5	0.5	~2.8 (UVOT: photometric)|2.106 (VLT: absorption)
100728B	10:31:55	44.051	0.296	1.5	12.1	17	1	3.5	0.5	2.800 (UVOT: photometric)|2.106 (VLT: absorption)
100728A	02:18:24	88.753	-15.259	1.0	198.5	380	0	5.1	0.2	1.567 (VLT: emission, host)
