|    name |       pseudo z |   pseudo z_error | Epeak (siml) [keV] | Epeak_error (siml) [keV] |        Luminosity |  Luminosity_error |
| 130102A |  4.71405666907 |   0.104788977148 |      179.523621324 |                      0.0 | 4.93176007524e+52 | 1.11153945103e+51 |
| 121217A |   4.0020496202 |   0.023398147266 |      472.901814016 |                      0.0 | 1.37742592188e+53 | 7.91869487742e+50 |
| 121212A |  8.30309220052 |  0.0493555633387 |      713.268105073 |                      0.0 | 4.89202168431e+53 |  3.1896941685e+51 |
| 121209A |  1.15502143461 |  0.0233196200367 |      116.155795442 |                      0.0 | 8.71451686221e+51 | 1.15895099633e+50 |
| 121202A |  1.76502747367 |  0.0558739345663 |      96.7015516752 |                      0.0 | 9.44553116862e+51 | 2.34578428406e+50 |
| 121117A |  3.86104822428 |  0.0382267903049 |       299.70601489 |                      0.0 | 7.59149950232e+52 | 7.33698034173e+50 |
| 121108A |  2.08203061201 |  0.0451254463113 |      157.628331912 |                      0.0 | 1.96842672623e+52 | 3.54205824366e+50 |
| 121102A |   2.0580303744 |  0.0312411752011 |      208.016477552 |                      0.0 | 2.74178609089e+52 |  3.4424767787e+50 |
| 121028A |  3.62404587796 |  0.0660617369236 |      424.050539506 |                      0.0 | 1.09364736095e+53 |  1.9202467822e+51 |
| 121017A | 0.845018365584 |  0.0259783963693 |      68.7210724596 |                      0.0 | 3.78084745724e+51 | 6.54263486698e+49 |
| 121014A |  4.57505529295 |   0.280110655335 |      135.533442227 |                      0.0 | 3.38763977182e+52 | 2.09184526511e+51 |
| 121011A |  2.75703729457 |  0.0993681767978 |      191.864095275 |                      0.0 | 3.19660014236e+52 | 1.03906331671e+51 |
| 121001A |  7.71308635946 |  0.0720926884289 |      478.372313962 |                      0.0 | 2.76262323473e+53 | 2.80926524056e+51 |
| 120927A |  1.62302606786 |   0.040184144663 |       107.32019066 |                      0.0 | 1.00599882189e+52 | 1.89409377587e+50 |
| 120923A |  3.41604381874 |  0.0692369673903 |      151.590474159 |                      0.0 | 2.91877486353e+52 | 5.62415321792e+50 |
| 120918A | 0.984019741697 |  0.0264541276712 |      113.095445616 |                      0.0 | 7.61500413053e+51 | 1.24787039682e+50 |
| 120819A |  4.66405617406 |   0.157331059163 |      310.282346587 |                      0.0 | 9.55912512149e+52 | 3.26329956901e+51 |
| 120817A |  1.64902632526 |  0.0405133797858 |      62.5404086015 |                      0.0 | 5.24817342019e+51 | 9.86443604198e+49 |
| 120816A |  2.17003148321 |  0.0873958933181 |      209.554222865 |                      0.0 | 2.89208841915e+52 | 9.79920627473e+50 |
| 120811A |  3.95904919449 |  0.0421004739561 |      288.309684174 |                      0.0 | 7.41764408937e+52 | 7.73938484435e+50 |
| 120807A |  2.24003217622 |  0.0412860808033 |      110.453029279 |                      0.0 | 1.35180593943e+52 | 2.11699858743e+50 |
| 120803B | 0.853018444784 |  0.0287671641894 |      36.7498677151 |                      0.0 | 1.76030995359e+51 |  3.3586004157e+49 |
| 120803A |  11.8431272469 |   0.129849844518 |      855.943513494 |                      0.0 | 9.09771220397e+53 | 1.13045876538e+52 |
| 120714A |  4.13105089731 |  0.0842874169707 |      428.273126763 |                      0.0 | 1.25809907707e+53 | 2.53993819455e+51 |
| 120711B |  7.74708669607 |  0.0899019363162 |      401.874435724 |                      0.0 | 2.24110885108e+53 | 2.83087340487e+51 |
| 120701A |  1.37102357304 |  0.0366394403353 |      82.4376705136 |                      0.0 | 6.42853855941e+51 | 1.22089157137e+50 |
| 120612A |  7.42408349833 |   0.147071464265 |      448.529255397 |                      0.0 |  2.4489312566e+53 | 5.25453429216e+51 |
| 120521B |  5.63906582666 |  0.0904168153972 |      461.239549539 |                      0.0 | 1.89138186051e+53 | 3.16572608153e+51 |
| 120514A |  2.85703828458 |  0.0422271674066 |      294.437100945 |                      0.0 | 5.58969230141e+52 | 7.52103803428e+50 |
| 120328A |  2.27803255243 |   0.053416313345 |      92.3727097958 |                      0.0 | 1.10096163554e+52 | 2.20487877803e+50 |
| 120324A |  1.69502678067 |  0.0111403966504 |      331.901571143 |                      0.0 | 4.16625857521e+52 | 2.11658479684e+50 |
| 120320A |  5.60806551976 |   0.162965483783 |      283.413327011 |                      0.0 | 1.03346680472e+53 |  3.1323458259e+51 |
| 120311B |  1.72702709747 |  0.0442271670927 |      112.053746284 |                      0.0 | 1.11367732062e+52 | 2.21978507611e+50 |
| 120311A |  2.64803621546 |  0.0245627812771 |      400.645164518 |                      0.0 | 7.62058261352e+52 | 6.30606522401e+50 |
| 120308A |   1.0570204644 | 0.00416105485935 |      160.109933587 |                      0.0 | 1.22146161924e+52 | 3.03666257629e+49 |
| 120224A |  1.23802225632 |  0.0613110492166 |      43.9844019709 |                      0.0 | 2.76533204378e+51 | 9.31051097091e+49 |
| 120219A |  2.65503628476 |    0.13110204509 |      58.6080440711 |                      0.0 | 7.19680243184e+51 | 3.17255556432e+50 |
| 120218A | 0.900018910089 |  0.0295391423338 |      173.890812721 |                      0.0 | 1.22464966368e+52 | 2.33993454246e+50 |
| 120215A | 0.916019068491 |  0.0377920458468 |      19.5546444833 |                      0.0 | 8.44724719647e+50 | 2.04770627961e+49 |
| 120213A |  3.61404577896 |  0.0246043162235 |       385.79540508 |                      0.0 | 9.70838019579e+52 | 6.36250387023e+50 |
| 120211A |  1.65102634506 |   0.129723003106 |      42.7539509745 |                      0.0 | 3.29075486332e+51 | 1.97902082906e+50 |
| 120121A |  4.13505093691 |   0.120411564736 |      230.691541625 |                      0.0 |  5.8876075888e+52 | 1.69673564433e+51 |
| 120116A |  1.21802205832 |  0.0199876734542 |      147.049154342 |                      0.0 | 1.20718513205e+52 |  1.3369714875e+50 |
| 120106A |  6.22307160832 |  0.0527419078601 |      819.470233844 |                      0.0 | 4.25110008557e+53 | 3.81493487126e+51 |
| 111215A |  7.59208516155 |   0.145399185895 |      465.775850155 |                      0.0 |  2.6278837015e+53 | 5.46539337697e+51 |
| 111210A |  2.59903573036 |  0.0390834907124 |      151.124833565 |                      0.0 | 2.26130509428e+52 | 3.01799302149e+50 |
| 111204A |  3.14304111601 |   0.273136235912 |      75.8950727894 |                      0.0 | 1.15322502365e+52 | 9.34385342612e+50 |
| 111129A |  4.95205902529 |  0.0926332508613 |      375.190956644 |                      0.0 | 1.28323290649e+53 | 2.45446614867e+51 |
